,model_id,model,d_model,e_layers,seq_len,pred_len,c_out,batch_size,buffer_size,lr,sample_type,eq,edq,ep
183,itf_dm48_el1_sl5_pl3_co4_bs32_bfs4000_lr0.0001_stlog,itf,48,1,5,3,4,32,4000,0.0001,log,1.207534259658891e-05,-1.0119741680714948e-05,0.0003801733302871556
615,itf_dm48_el1_sl20_pl1_co4_bs32_bfs500_lr0.0001_stlog,itf,48,1,20,1,4,32,500,0.0001,log,1.2893254912035585e-05,-1.1548125100191604e-05,0.0003816385373052602
339,itf_dm48_el1_sl10_pl1_co4_bs16_bfs1000_lr0.0001_stlog,itf,48,1,10,1,4,16,1000,0.0001,log,1.2586971527088465e-05,-1.0418934275566952e-05,0.00038183023437959125
915,itf_dm48_el1_sl40_pl1_co4_bs16_bfs1000_lr0.0001_stlog,itf,48,1,40,1,4,16,1000,0.0001,log,1.2913327242542122e-05,-1.1291371296103317e-05,0.00038352642513821464
778,itf_dm48_el1_sl20_pl8_co4_bs64_bfs128_lr0.001_stlog,itf,48,1,20,8,4,64,128,0.001,log,1.3317862423861161e-05,-1.1067436856938232e-05,0.0003844354271853769
1127,itf_dm48_el1_sl40_pl8_co4_bs32_bfs2000_lr0.0001_stlog,itf,48,1,40,8,4,32,2000,0.0001,log,1.3080110731423654e-05,-1.1127003664512369e-05,0.000385027950470018
887,itf_dm48_el1_sl40_pl1_co4_bs32_bfs200_lr0.0001_stlog,itf,48,1,40,1,4,32,200,0.0001,log,1.3294570931569503e-05,-1.2349177646818737e-05,0.00038591038111509743
22,itf_dm48_el1_sl5_pl1_co4_bs32_bfs200_lr0.001_stlog,itf,48,1,5,1,4,32,200,0.001,log,1.3391265197136733e-05,-1.2104254104065675e-05,0.00038792588932972847
12,itf_dm48_el1_sl5_pl1_co4_bs128_bfs128_lr0.05_stlog,itf,48,1,5,1,4,128,128,0.05,log,1.2762108116850688e-05,-8.746263366513074e-06,0.0003881830975980043
723,itf_dm48_el1_sl20_pl3_co4_bs16_bfs1000_lr0.0001_stlog,itf,48,1,20,3,4,16,1000,0.0001,log,1.1935670260565393e-05,-1.3013028005787446e-05,0.00038915004432367515
446,itf_dm48_el1_sl10_pl3_co4_bs128_bfs1000_lr0.001_stlog,itf,48,1,10,3,4,128,1000,0.001,log,1.2835581415182975e-05,-1.336280964791799e-05,0.0003900236590100363
238,itf_dm48_el1_sl5_pl8_co4_bs128_bfs500_lr0.001_stlog,itf,48,1,5,8,4,128,500,0.001,log,1.3330465643602218e-05,-1.3507737517256743e-05,0.0003925164551979908
